epoch,loss,accuracy,val_loss,val_accuracy
1,0.5107788811830396,0.9185166666666666,0.2759269621321135,0.9208
2,0.24785550693146707,0.9414833333333333,0.2109244988776031,0.941
3,0.19448929079921784,0.9505833333333333,0.18277372091826385,0.9467
4,0.1621196639445204,0.9586666666666667,0.1552860878777375,0.9534
5,0.13902779899901682,0.96195,0.14692039485147035,0.9561
6,0.12175352349930206,0.9686,0.12655533050734685,0.961
7,0.10747352602556492,0.9739833333333333,0.11406837619666639,0.9658
8,0.09612910508228065,0.97455,0.11015733548689013,0.9667
9,0.08700653220129892,0.9774,0.10327078197296377,0.967
10,0.07886396548799346,0.9803166666666666,0.09749971646138886,0.9706
